complaint_text,complainant,accused
Smt. Rekha Singh raised concerns regarding behaviour of Ranchi SP.,Smt. Rekha Singh,Ranchi SP
Complaint filed by Smt. Rekha Singh against Zonal Commissioner for abuse of power.,Smt. Rekha Singh,Zonal Commissioner
Suo-Motu cognizance with regard to Delhi Police allegedly bribing Smt. Rekha Singh for media coverage.,Smt. Rekha Singh,Delhi Police
Complaint filed by Mr. Rahul Tiwari against Zonal Commissioner for abuse of power.,Mr. Rahul Tiwari,Zonal Commissioner
Smt. Rekha Singh filed a report against Delhi Police citing threats and intimidation.,Smt. Rekha Singh,Delhi Police
Shri Rajesh Jain filed a report against State Education Minister citing threats and intimidation.,Shri Rajesh Jain,State Education Minister
Shri Rajesh Jain lodged a complaint against Zonal Commissioner with the authorities.,Shri Rajesh Jain,Zonal Commissioner
Journalists Association of Delhi has accused Rajkot Collector of unlawful conduct.,Journalists Association of Delhi,Rajkot Collector
Editor of The Daily News lodged a complaint against Delhi Police with the authorities.,Editor of The Daily News,Delhi Police
Smt. Rekha Singh raised concerns regarding behaviour of Government Official.,Smt. Rekha Singh,Government Official
Ms. Priya Sharma raised concerns regarding behaviour of Ranchi SP.,Ms. Priya Sharma,Ranchi SP
Suo-Motu cognizance with regard to Block Development Officer allegedly harassing Editor of The Daily News during coverage of an event.,Editor of The Daily News,Block Development Officer
Shri Rajesh Jain filed a report against District Magistrate citing threats and intimidation.,Shri Rajesh Jain,District Magistrate
Ms. Priya Sharma has accused Government Official of unlawful conduct.,Ms. Priya Sharma,Government Official
Complaint filed by Smt. Sunita Gupta against Media House Owner for abuse of power.,Smt. Sunita Gupta,Media House Owner
"According to Ms. Priya Sharma, Media House Owner obstructed journalistic activities.",Ms. Priya Sharma,Media House Owner
Suo-Motu cognizance of unlawful detention of Journalists Association of Delhi by Local MLA.,Journalists Association of Delhi,Local MLA
"According to Press Club of India, District Magistrate obstructed journalistic activities.",Press Club of India,District Magistrate
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking Mr. Arvind Yadav.,Mr. Arvind Yadav,Block Development Officer
Suo-Motu cognizance with regard to Ranchi SP allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Ranchi SP
Mr. Arvind Yadav filed a report against Block Development Officer citing threats and intimidation.,Mr. Arvind Yadav,Block Development Officer
A complaint has been registered by Advocate Rakesh Kumar against Local MLA for misconduct.,Advocate Rakesh Kumar,Local MLA
Complaint submitted by Smt. Rekha Singh alleging harassment by Delhi Police.,Smt. Rekha Singh,Delhi Police
Mr. Arvind Yadav filed a report against Ranchi SP citing threats and intimidation.,Mr. Arvind Yadav,Ranchi SP
Complaint submitted by Media Council of India alleging harassment by Political Party Worker.,Media Council of India,Political Party Worker
Smt. Sunita Gupta lodged a complaint against Traffic Police Officer with the authorities.,Smt. Sunita Gupta,Traffic Police Officer
Ms. Neha Dubey has accused Media House Owner of unlawful conduct.,Ms. Neha Dubey,Media House Owner
A complaint has been registered by Ms. Neha Dubey against State Education Minister for misconduct.,Ms. Neha Dubey,State Education Minister
Ms. Priya Sharma has accused Police Constable of unlawful conduct.,Ms. Priya Sharma,Police Constable
Formal complaint by Press Club of India accusing District Magistrate of corruption.,Press Club of India,District Magistrate
Editor of The Daily News lodged a complaint against Tehsildar with the authorities.,Editor of The Daily News,Tehsildar
Formal complaint by Mr. Rahul Tiwari accusing Delhi Police of corruption.,Mr. Rahul Tiwari,Delhi Police
Ms. Neha Dubey raised concerns regarding behaviour of Political Party Worker.,Ms. Neha Dubey,Political Party Worker
Complaint filed by Shri Aman Verma against State Education Minister for abuse of power.,Shri Aman Verma,State Education Minister
Advocate Rakesh Kumar filed a report against Tehsildar citing threats and intimidation.,Advocate Rakesh Kumar,Tehsildar
A complaint has been registered by Media Council of India against Traffic Police Officer for misconduct.,Media Council of India,Traffic Police Officer
Complaint submitted by National Human Rights Commission alleging harassment by Political Party Worker.,National Human Rights Commission,Political Party Worker
Suo-Motu cognizance in the case of Delhi Police allegedly threatening Ms. Neha Dubey.,Ms. Neha Dubey,Delhi Police
A complaint has been registered by Editor of The Daily News against Tehsildar for misconduct.,Editor of The Daily News,Tehsildar
Smt. Sunita Gupta filed a report against Local MLA citing threats and intimidation.,Smt. Sunita Gupta,Local MLA
Suo-Motu cognizance of unlawful detention of Ms. Priya Sharma by Ranchi SP.,Ms. Priya Sharma,Ranchi SP
Suo-Motu cognizance with regard to Ranchi SP allegedly harassing Editor of The Daily News during coverage of an event.,Editor of The Daily News,Ranchi SP
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Rajkot Collector.,Mr. Rahul Tiwari,Rajkot Collector
A complaint has been registered by Smt. Sunita Gupta against Tehsildar for misconduct.,Smt. Sunita Gupta,Tehsildar
Complaint filed by Shri Aman Verma against District Magistrate for abuse of power.,Shri Aman Verma,District Magistrate
Journalists Association of Delhi raised concerns regarding behaviour of Ranchi SP.,Journalists Association of Delhi,Ranchi SP
Suo-Motu cognizance in the case of Media House Owner allegedly threatening Press Club of India.,Press Club of India,Media House Owner
A complaint has been registered by Shri Rajesh Jain against State Education Minister for misconduct.,Shri Rajesh Jain,State Education Minister
Suo-Motu cognizance regarding misconduct by Police Constable involving Press Club of India.,Press Club of India,Police Constable
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Media House Owner.,Advocate Rakesh Kumar,Media House Owner
Advocate Rakesh Kumar filed a report against Inspector General citing threats and intimidation.,Advocate Rakesh Kumar,Inspector General
Smt. Rekha Singh has accused State Education Minister of unlawful conduct.,Smt. Rekha Singh,State Education Minister
"According to Press Club of India, Local MLA obstructed journalistic activities.",Press Club of India,Local MLA
Suo-Motu cognizance of unlawful detention of Shri Aman Verma by District Magistrate.,Shri Aman Verma,District Magistrate
"According to Editor of The Daily News, Block Development Officer obstructed journalistic activities.",Editor of The Daily News,Block Development Officer
Suo-Motu cognizance with regard to State Education Minister allegedly attacking Ms. Priya Sharma.,Ms. Priya Sharma,State Education Minister
A complaint has been registered by Ms. Priya Sharma against Tehsildar for misconduct.,Ms. Priya Sharma,Tehsildar
Ms. Neha Dubey lodged a complaint against Local MLA with the authorities.,Ms. Neha Dubey,Local MLA
Complaint filed by Shri Aman Verma against State Education Minister for abuse of power.,Shri Aman Verma,State Education Minister
Journalists Association of Delhi filed a report against Police Constable citing threats and intimidation.,Journalists Association of Delhi,Police Constable
Media Council of India lodged a complaint against Zonal Commissioner with the authorities.,Media Council of India,Zonal Commissioner
Suo-Motu cognizance regarding misconduct by Tehsildar involving Press Club of India.,Press Club of India,Tehsildar
Press Club of India lodged a complaint against Government Official with the authorities.,Press Club of India,Government Official
Suo-Motu cognizance in the case of Local MLA allegedly threatening Journalists Association of Delhi.,Journalists Association of Delhi,Local MLA
Formal complaint by Shri Aman Verma accusing Local MLA of corruption.,Shri Aman Verma,Local MLA
Complaint filed by Mr. Rahul Tiwari against Traffic Police Officer for abuse of power.,Mr. Rahul Tiwari,Traffic Police Officer
Smt. Rekha Singh has accused Zonal Commissioner of unlawful conduct.,Smt. Rekha Singh,Zonal Commissioner
Formal complaint by Smt. Rekha Singh accusing Tehsildar of corruption.,Smt. Rekha Singh,Tehsildar
"According to Mr. Rahul Tiwari, Police Constable obstructed journalistic activities.",Mr. Rahul Tiwari,Police Constable
Editor of The Daily News lodged a complaint against State Education Minister with the authorities.,Editor of The Daily News,State Education Minister
A complaint has been registered by National Human Rights Commission against Local MLA for misconduct.,National Human Rights Commission,Local MLA
Formal complaint by Advocate Rakesh Kumar accusing Inspector General of corruption.,Advocate Rakesh Kumar,Inspector General
Mr. Arvind Yadav lodged a complaint against Zonal Commissioner with the authorities.,Mr. Arvind Yadav,Zonal Commissioner
Ms. Priya Sharma has accused Rajkot Collector of unlawful conduct.,Ms. Priya Sharma,Rajkot Collector
Mr. Arvind Yadav lodged a complaint against Ranchi SP with the authorities.,Mr. Arvind Yadav,Ranchi SP
Suo-Motu cognizance of unlawful detention of Ms. Priya Sharma by Media House Owner.,Ms. Priya Sharma,Media House Owner
Complaint submitted by Editor of The Daily News alleging harassment by Ranchi SP.,Editor of The Daily News,Ranchi SP
"According to Shri Aman Verma, Tehsildar obstructed journalistic activities.",Shri Aman Verma,Tehsildar
"According to Shri Aman Verma, Local MLA obstructed journalistic activities.",Shri Aman Verma,Local MLA
Mr. Rahul Tiwari lodged a complaint against Ranchi SP with the authorities.,Mr. Rahul Tiwari,Ranchi SP
Shri Rajesh Jain has accused Police Constable of unlawful conduct.,Shri Rajesh Jain,Police Constable
Formal complaint by Press Club of India accusing Traffic Police Officer of corruption.,Press Club of India,Traffic Police Officer
Formal complaint by Ms. Priya Sharma accusing Local MLA of corruption.,Ms. Priya Sharma,Local MLA
A complaint has been registered by Press Club of India against Local MLA for misconduct.,Press Club of India,Local MLA
Complaint filed by Ms. Priya Sharma against Media House Owner for abuse of power.,Ms. Priya Sharma,Media House Owner
Ms. Neha Dubey raised concerns regarding behaviour of Block Development Officer.,Ms. Neha Dubey,Block Development Officer
"According to Mr. Arvind Yadav, Rajkot Collector obstructed journalistic activities.",Mr. Arvind Yadav,Rajkot Collector
Ms. Neha Dubey has accused Tehsildar of unlawful conduct.,Ms. Neha Dubey,Tehsildar
Smt. Rekha Singh raised concerns regarding behaviour of Political Party Worker.,Smt. Rekha Singh,Political Party Worker
Complaint submitted by Editor of The Daily News alleging harassment by Government Official.,Editor of The Daily News,Government Official
Suo-Motu cognizance with regard to an incident involving Inspector General and Journalists Association of Delhi.,Journalists Association of Delhi,Inspector General
